Country_code,GDP_2015
AFG,569.578
AGO,3695.794
ALB,3934.895
AND,36038.268
ARB,6435.526
ARE,39101.747
ARG,13467.102
ARM,3617.936
ASM,11865.963
ATG,13659.148
AUS,56408.340
AUT,44255.583
AZE,5500.310
BDI,300.677
BEL,40375.389
BEN,783.947
BFA,575.314
BGD,1210.159
BGR,6993.477
BHR,22688.878
BHS,29056.091
BIH,4584.243
BLR,5949.106
BLZ,4849.997
BOL,3077.026
BRA,8757.206
BRB,16129.049
BRN,30967.891
BTN,2615.310
BWA,6532.045
CAF,348.381
CAN,43335.159
CEB,12450.133
CHE,82016.021
CHL,13653.226
CHN,8069.213
CIV,1434.327
CMR,1353.924
COD,474.936
COG,1712.121
COL,6044.526
COM,727.646
CPV,2954.119
CRI,11406.363
CSS,9648.399
CUB,7602.261
CYP,23212.225
CZE,17715.617
DEU,41323.922
DJI,1862.167
DMA,7313.849
DNK,53012.997
DOM,6468.472
DZA,4160.220
EAP,6509.111
EAR,3259.700
EAS,9533.912
ECA,7521.365
ECS,22442.994
ECU,6150.156
EGY,3547.713
EMU,34351.609
ESP,25789.520
EST,17155.874
ETH,645.465
EUU,32198.667
FCS,1559.050
FIN,42419.566
FJI,4921.951
FRA,36526.770
FRO,50581.968
FSM,3018.009
GAB,7388.984
GBR,44305.555
GEO,3764.641
GHA,1361.114
GIN,725.065
GMB,458.969
GNB,585.211
GNQ,10717.482
GRC,18070.777
GRD,9333.270
GRL,39569.106
GTM,3923.573
GUM,35210.789
GUY,4160.269
HIC,40223.112
HKG,42434.666
HND,2326.156
HPC,883.388
HRV,11638.079
HTI,814.546
HUN,12483.866
IBD,5554.733
IBT,4500.885
IDA,1321.453
IDB,1932.696
IDN,3336.107
IDX,1010.651
IMN,81672.023
IND,1596.470
IRL,62544.631
IRN,4862.300
IRQ,4974.027
ISL,50734.444
ISR,35691.269
ITA,30171.742
JAM,4939.837
JOR,4096.099
JPN,34474.137
KAZ,10509.981
KEN,1349.970
KGZ,1121.083
KHM,1163.190
KIR,1504.715
KNA,16178.189
KOR,27105.076
KWT,29109.069
LAC,8303.877
LAO,2159.433
LBN,8452.444
LBR,452.038
LCA,9306.359
LCN,8674.116
LDC,970.251
LIC,629.031
LIE,168146.015
LKA,3891.659
LMC,2024.834
LMY,4405.308
LSO,1152.320
LTE,8202.415
LTU,14252.429
LUX,101446.786
LVA,13658.085
MAC,75484.287
MAR,2864.093
MDA,1832.499
MDG,402.088
MDV,9575.771
MEA,7336.970
MEX,9152.872
MHL,3390.910
MIC,4843.541
MKD,4834.137
MLI,749.950
MLT,23816.085
MMR,1138.992
MNA,3924.289
MNE,6514.273
MNG,3946.962
MNP,17020.578
MOZ,528.314
MRT,1158.256
MUS,9260.447
MWI,362.658
MYS,9648.553
NAC,55156.244
NAM,4770.501
NGA,2655.158
NIC,2095.966
NLD,44746.334
NOR,74498.138
NPL,747.160
NRU,8052.888
NZL,38201.575
OED,36412.092
OMN,16627.364
OSS,12590.419
PAK,1428.638
PAN,13134.044
PER,6030.343
PHL,2878.338
PLW,13981.840
PNG,2659.264
POL,12564.484
PRE,1524.222
PRI,29697.128
PRT,19252.635
PRY,4109.368
PSE,2865.805
PSS,3644.381
PST,40308.684
QAT,66346.523
ROU,8978.389
RUS,9329.291
RWA,710.348
SAS,1538.351
SAU,20653.242
SDN,2513.885
SEN,910.775
SGP,53629.737
SLB,1922.041
SLE,587.516
SLV,4127.118
SMR,47610.985
SOM,426.010
SRB,5237.255
SSA,1596.357
SSD,758.721
SSF,1597.639
SST,11504.323
STP,1615.321
SUR,8724.724
SVK,16132.860
SVN,20873.161
SWE,50812.191
SWZ,3047.947
SYC,15390.041
TCD,777.249
TEA,6578.179
TEC,7944.292
TGO,551.131
THA,5814.863
TJK,918.677
TKM,6432.669
TLA,8534.506
TLS,1294.545
TMN,3936.596
TON,4093.850
TSA,1538.351
TSS,1597.639
TTO,17321.788
TUN,3828.101
TUR,10984.771
TUV,2970.028
TZA,872.295
UGA,674.045
UKR,2124.663
UMC,8112.015
URY,15524.842
USA,56469.009
UZB,2137.577
VCT,6899.692
VIR,34954.972
VNM,2065.169
VUT,2805.834
WLD,10161.627
WSM,4149.411
XKX,3574.482
YEM,1401.903
ZAF,5744.324
ZMB,1313.890
ZWE,1033.416
